id,site,observer,date,day,month,year,date_format,juldate,start_time,timeformat,time_interval,species,species_format,dist1,dist2,dist3,dist4,dist5,total,detection,detection_format,temp,sky,wind,x,y,accuracy,location_notes,general_notes
blocdavmd1-179-2013-2,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,2,HOFI,hofi,1,.,.,.,.,1,A,a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-2,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,2,CARW,carw,.,.,.,.,1,1,A,a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-5,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,5,AMRO,amro,2,1,1,1,.,5,V/A,v/a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-5,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,5,CARW,carw,.,.,.,.,1,1,A,a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-5,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,5,SOSP,sosp,.,.,.,.,1,1,A,a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-5,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,5,GRCA,grca,.,1,.,.,.,1,A,a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-5,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,5,HOSP,hosp,1,3,.,3,2,9,V/A,v/a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-5,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,5,NOCA,noca,.,1,.,1,.,2,A,a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-5,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,5,EUST,eust,.,.,2,.,.,2,A,a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-5,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,5,MODO,modo,.,.,.,1,.,1,A,a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-151-2013-3,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,3,HOSP,hosp,1,2,.,.,.,3,B/V,b/v,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-3,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,3,GRCA,grca,.,1,.,.,.,1,A,a,72,0,0,.,.,.,.,.
