plantspecies,genus,taxa origin,genus_origin (via DT),leaftype,family,Total Lep spp,Exotic Lep spp,Native Lep spp,group,correctedlep,notes,paired_congener,congener
swamp white oak,quercus,native,native,deciduous,Fagaceae,532,14,518,quercus-native,532,,native congener,native
sweet cherry,prunus,non-native,native,deciduous,Rosaceae,456,27,429,prunus-exotic,82.08,,exotic congener,exotic congener
sweetbay magnolia,magnolia,native,native,deciduous,Magnoliaceae,21,0,21,magnolia-native,21,,native congener,native
sweetgum,liquidambar,native,native,deciduous,Altingiaceae,35,2,33,liquidambar-native,35,,native,native
sweetspire,itea,native,native,deciduous,Grossulariaceae,0,0,0,itea-native,0,,native,native
sycamore,platanus,native,native,deciduous,Platanaceae,45,3,42,platanus-native,45,,native congener,native
tartarian dogwood,cornus,non-native,native,deciduous,Cornaceae,118,2,116,cornus-exotic,21.24,,exotic congener,exotic congener
tartarian honeysuckle,lonicera,non-native,native,deciduous,Caprifoliaceae,37,4,33,lonicera-exotic,6.66,,exotic congener,exotic congener
telephone pole,.,other,.,.,.,.,.,.,.,.,,other,other
tree of heaven,ailanthus,non-native,non-native,deciduous,Simaroubaceae,6,2,4,ailanthus-exotic,6,,exotic,exotic
tree peony,paeonia,non-native,non-native,deciduous,Paeoniaceae,4,1,3,paeonia-exotic,4,,exotic,exotic
tricolor beech,fagus,non-native,native,deciduous,Fagaceae,127,3,124,fagus-exotic,22.86,,exotic congener,exotic congener
trident maple,acer,non-native,native,deciduous,Sapindaceae,297,10,287,acer-exotic,53.46,,exotic congener,exotic congener
trifoliate orange,poncirus,non-native,non-native,evergreen,Rutaceae,1,0,1,poncirus-exotic,1,,exotic,exotic
trumpet vine,campsis,native,native,deciduous,Bignoniaceae,7,0,7,campsis-native,7,,native,native
tulip tree,liriodendron,native,native,deciduous,Magnoliaceae,21,2,19,liriodendron-native,21,,native,native
umbrella magnolia,magnolia,native,native,deciduous,Magnoliaceae,21,0,21,magnolia-native,21,,native congener,native
unknown,unknown,unknown,unknown,unknown,unknown,.,.,.,unknown-unknown,.,,unknown,unknown
unknown (conifer),unknown,unknown,unknown,conifer,unknown,.,.,.,unknown-unknown,.,,unknown,unknown
unknown (ilex),ilex,unknown,native,conifer,Aquifoliaceae,39,5,34,ilex-unknown,39,,unknown,unknown
unknown (pine),pinus,unknown,native,conifer,Pinaceae,201,10,191,pinus-unknown,201,,unknown,unknown
unknown (vine),unknown,unknown,unknown,deciduous,unknown,.,.,.,unknown-unknown,.,,unknown,unknown
unknown ornamental,unknown,unknown,non-native,.,.,.,.,.,unknown-unknown,.,,unknown,unknown
unknown ornamental shrub,unknown,unknown,unknown,unknown,unknown,.,.,.,unknown-unknown,.,,unknown,unknown
unknown shrub,unknown,unknown,unknown,unknown,unknown,.,.,.,unknown-unknown,.,,unknown,unknown
varigated euonymus,euonymus,non-native,native,deciduous,Celastraceae,11,5,6,euonymus-exotic,1.98,,exotic congener,exotic congener
varigated holly,ilex,non-native,native,deciduous,Aquifoliaceae,39,5,34,ilex-exotic,7.02,,exotic congener,exotic congener
viburnum (native),viburnum,native,native,deciduous,Caprifoliaceae,104,6,98,viburnum-native,104,,native congener,native
viburnum dilatatum,viburnum,non-native,native,deciduous,Caprifoliaceae,104,6,98,viburnum-exotic,18.72,linden viburnum,exotic congener,exotic congener
viburnum japonica,viburnum,non-native,native,deciduous,Caprifoliaceae,104,6,98,viburnum-exotic,18.72,,exotic congener,exotic congener
